estado,municipio,ano_ingreso
Aguascalientes,Pabellon de Hidalgo,2023
Aguascalientes,Real de Asientos,2006
Aguascalientes,Calvillo,2012
Aguascalientes,San Jose de Gracia,2015
Baja California,Tecate,2012
Baja California Sur,Santa Rosalia,2023
Baja California Sur,Todos Santos,2006
Baja California Sur,Loreto,2012
Campeche,Candelaria,2023
Campeche,Isla Aguada,2020
Campeche,Palizada,2011
Coahuila,General Cepeda,2023
Coahuila,Melchor Muzquiz,2018
Coahuila,Parras de la Fuente,2004
Coahuila,Cuatro Cienegas,2012
Coahuila,Arteaga,2012
Coahuila,Viesca,2012
Coahuila,Candela,2015
Coahuila,Guerrero,2015
Colima,Comala,2002
Chiapas,Ocozocoautla de Espinosa,2023
Chiapas,Copainala,2023
Chiapas,San Cristobal de las Casas,2003
Chiapas,Comitan,2012
Chiapas,Chiapa de Corzo,2012
Chiapas,Palenque,2015
Chihuahua,Hidalgo del Parral,2023
Chihuahua,Guachochi,2023
Chihuahua,Creel,2007
Chihuahua,Batopilas,2012
Chihuahua,Casas Grandes,2015
Durango,Nombre de Dios,2018
Durango,Mapimi,2012
Guanajuato,Comonfort,2018
Guanajuato,Dolores Hidalgo,2002
Guanajuato,Mineral de Pozos,2012
Guanajuato,Jalpa de Canovas,2012
Guanajuato,Salvatierra,2012
Guanajuato,Yuriria,2012
Guerrero,Zihuatanejo,2023
Guerrero,Ixcateopan de Cuauhtemoc,2023
Guerrero,Taxco de Alarcon,2002
Hidalgo,Metztitlan,2023
Hidalgo,Acaxochitlan,2023
Hidalgo,Zimapan,2018
Hidalgo,Zempoala,2020
Hidalgo,Real del Monte,2004
Hidalgo,Huasca de Ocampo,2001
Hidalgo,Mineral del Chico,2011
Hidalgo,Huichapan,2012
Hidalgo,Tecozahutla,2015
Jalisco,Temacapulin,2023
Jalisco,Sayula,2023
Jalisco,Cocula,2023
Jalisco,San Pedro Tlaquepaque,2018
Jalisco,Ajijic,2020
Jalisco,Mazamitla,2005
Jalisco,Tapalpa,2002
Jalisco,Tequila,2003
Jalisco,San Sebastian del Oeste,2011
